"x","y","polygon_id","name"
118.276725341475,171.571416884053,1,"polygon 5"
146.276723434126,172.571416815934,1,"polygon 5"
138.276723979083,214.571413954911,1,"polygon 5"
116.276725477714,211.57141415927,1,"polygon 5"
162.276722344213,147.571418518923,2,"polygon 5"
180.27672111806,153.571418110206,2,"polygon 5"
184.276720845582,203.571414704226,2,"polygon 5"
160.276722480452,205.571414567987,2,"polygon 5"
382.276707357903,149.571418382684,3,"polygon 5"
409.276705518674,146.571418587043,3,"polygon 5"
404.276705859272,201.571414840466,3,"polygon 5"
384.276707221664,201.571414840466,3,"polygon 5"
