x,y,polygon_id,image_id,class_selected,class_AI
219.94585198976327,237.56255978962582,1,1,Berlin,Hamburg
219.94585198976327,237.56255978962582,1,1,Berlin,Hamburg
212.9359218746307,256.8577174944338,1,1,Berlin,Hamburg
212.9359218746307,256.8577174944338,1,1,Berlin,Hamburg
235.7181947488116,276.1528751992418,1,1,Berlin,Hamburg
235.7181947488116,276.1528751992418,1,1,Berlin,Hamburg
274.27281038204086,272.64466470745845,1,1,Berlin,Hamburg
274.27281038204086,272.64466470745845,1,1,Berlin,Hamburg
263.7579152093419,246.33308601908396,1,1,Berlin,Hamburg
263.7579152093419,246.33308601908396,1,1,Berlin,Hamburg
