x,y,polygon_id,image_id,class_selected,class_AI
173.34473151652105,115.29618033813404,1,1,Jerusalem,Berlin
173.34473151652105,115.29618033813404,1,1,Jerusalem,Berlin
208.3901518245261,152.1152160300564,1,1,Jerusalem,Berlin
208.3901518245261,152.1152160300564,1,1,Jerusalem,Berlin
168.0879184703203,164.3882279273638,1,1,Jerusalem,Berlin
168.0879184703203,164.3882279273638,1,1,Jerusalem,Berlin
131.290227146915,178.4145272385723,1,1,Jerusalem,Berlin
131.290227146915,178.4145272385723,1,1,Jerusalem,Berlin
80.47436770030768,152.1152160300564,1,1,Jerusalem,Berlin
80.47436770030768,152.1152160300564,1,1,Jerusalem,Berlin
82.22663871570794,108.28303068252978,1,1,Jerusalem,Berlin
82.22663871570794,108.28303068252978,1,1,Jerusalem,Berlin
110.26297496211197,46.91797119599249,1,1,Jerusalem,Berlin
110.26297496211197,46.91797119599249,1,1,Jerusalem,Berlin
310.02187071774074,195.947401377583,3,1,Jerusalem,Berlin
310.02187071774074,195.947401377583,3,1,Jerusalem,Berlin
248.69238517873188,231.01314965560425,3,1,Jerusalem,Berlin
248.69238517873188,231.01314965560425,3,1,Jerusalem,Berlin
246.94011416333163,290.62492172824045,3,1,Jerusalem,Berlin
246.94011416333163,290.62492172824045,3,1,Jerusalem,Berlin
292.4991605637382,337.9636819035692,3,1,Jerusalem,Berlin
292.4991605637382,337.9636819035692,3,1,Jerusalem,Berlin
362.59000117974824,315.17094552285533,3,1,Jerusalem,Berlin
362.59000117974824,315.17094552285533,3,1,Jerusalem,Berlin
394.1308794569528,225.7532874139011,3,1,Jerusalem,Berlin
394.1308794569528,225.7532874139011,3,1,Jerusalem,Berlin
350.3241040719465,185.4276768941766,3,1,Jerusalem,Berlin
350.3241040719465,185.4276768941766,3,1,Jerusalem,Berlin
227.66513299392886,297.6380713838447,3,1,Jerusalem,Berlin
227.66513299392886,297.6380713838447,3,1,Jerusalem,Berlin
171.5924605011208,288.87163431433936,3,1,Jerusalem,Berlin
171.5924605011208,288.87163431433936,3,1,Jerusalem,Berlin
133.04249816231524,336.21039448966815,3,1,Jerusalem,Berlin
133.04249816231524,336.21039448966815,3,1,Jerusalem,Berlin
152.317479331718,383.5491546649969,3,1,Jerusalem,Berlin
152.317479331718,383.5491546649969,3,1,Jerusalem,Berlin
324.04003884094277,18.865372573575428,5,1,Jerusalem,Berlin
324.04003884094277,18.865372573575428,5,1,Jerusalem,Berlin
290.7468895483379,73.21728240450847,5,1,Jerusalem,Berlin
290.7468895483379,73.21728240450847,5,1,Jerusalem,Berlin
325.79230985634297,108.28303068252978,5,1,Jerusalem,Berlin
325.79230985634297,108.28303068252978,5,1,Jerusalem,Berlin
432.6808417957584,83.73700688791484,5,1,Jerusalem,Berlin
432.6808417957584,83.73700688791484,5,1,Jerusalem,Berlin
408.14904758015484,29.385097056981863,5,1,Jerusalem,Berlin
408.14904758015484,29.385097056981863,5,1,Jerusalem,Berlin
