x,y,polygon_id,image_id,class_selected,class_AI
115.29229980709783,74.30909045447345,9,2,Hamburg,Berlin
115.29229980709783,74.30909045447345,9,2,Hamburg,Berlin
115.29229980709783,74.30909045447345,9,2,Hamburg,Berlin
86.04490963290303,196.20721844750787,9,2,Hamburg,Berlin
86.04490963290303,196.20721844750787,9,2,Hamburg,Berlin
86.04490963290303,196.20721844750787,9,2,Hamburg,Berlin
304.18169468210596,176.70351796862235,9,2,Hamburg,Berlin
304.18169468210596,176.70351796862235,9,2,Hamburg,Berlin
304.18169468210596,176.70351796862235,9,2,Hamburg,Berlin
212.78360038774719,324.200252840194,12,2,Hamburg,Berlin
212.78360038774719,324.200252840194,12,2,Hamburg,Berlin
212.78360038774719,324.200252840194,12,2,Hamburg,Berlin
189.62941649984296,337.6090469194278,12,2,Hamburg,Berlin
189.62941649984296,337.6090469194278,12,2,Hamburg,Berlin
189.62941649984296,337.6090469194278,12,2,Hamburg,Berlin
162.81930884016438,352.2368222785919,12,2,Hamburg,Berlin
162.81930884016438,352.2368222785919,12,2,Hamburg,Berlin
162.81930884016438,352.2368222785919,12,2,Hamburg,Berlin
143.3210487240345,348.57987843880085,12,2,Hamburg,Berlin
143.3210487240345,348.57987843880085,12,2,Hamburg,Berlin
143.3210487240345,348.57987843880085,12,2,Hamburg,Berlin
116.51094106435593,344.92293459900986,12,2,Hamburg,Berlin
116.51094106435593,344.92293459900986,12,2,Hamburg,Berlin
116.51094106435593,344.92293459900986,12,2,Hamburg,Berlin
101.88724597725854,354.6747848384526,12,2,Hamburg,Berlin
101.88724597725854,354.6747848384526,12,2,Hamburg,Berlin
101.88724597725854,354.6747848384526,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
86.04490963290303,366.86459763775605,12,2,Hamburg,Berlin
68.98393203128937,375.3974665972684,12,2,Hamburg,Berlin
68.98393203128937,375.3974665972684,12,2,Hamburg,Berlin
68.98393203128937,375.3974665972684,12,2,Hamburg,Berlin
62.890725744998775,381.49237299692015,12,2,Hamburg,Berlin
62.890725744998775,381.49237299692015,12,2,Hamburg,Berlin
62.890725744998775,381.49237299692015,12,2,Hamburg,Berlin
51.92295442967573,388.80626067650223,12,2,Hamburg,Berlin
51.92295442967573,388.80626067650223,12,2,Hamburg,Berlin
51.92295442967573,388.80626067650223,12,2,Hamburg,Berlin
42.17382437161079,387.5872793965719,12,2,Hamburg,Berlin
42.17382437161079,387.5872793965719,12,2,Hamburg,Berlin
42.17382437161079,387.5872793965719,12,2,Hamburg,Berlin
34.86197682806208,403.43403603566634,12,2,Hamburg,Berlin
34.86197682806208,403.43403603566634,12,2,Hamburg,Berlin
34.86197682806208,403.43403603566634,12,2,Hamburg,Berlin
37.299259342578324,409.5289424353181,12,2,Hamburg,Berlin
37.299259342578324,409.5289424353181,12,2,Hamburg,Berlin
37.299259342578324,409.5289424353181,12,2,Hamburg,Berlin
67.76529077403124,405.87199859552703,12,2,Hamburg,Berlin
67.76529077403124,405.87199859552703,12,2,Hamburg,Berlin
67.76529077403124,405.87199859552703,12,2,Hamburg,Berlin
89.70083340467738,409.5289424353181,12,2,Hamburg,Berlin
89.70083340467738,409.5289424353181,12,2,Hamburg,Berlin
89.70083340467738,409.5289424353181,12,2,Hamburg,Berlin
110.41773477806535,409.5289424353181,12,2,Hamburg,Berlin
110.41773477806535,409.5289424353181,12,2,Hamburg,Berlin
110.41773477806535,409.5289424353181,12,2,Hamburg,Berlin
134.7905599232277,408.3099611553877,12,2,Hamburg,Berlin
134.7905599232277,408.3099611553877,12,2,Hamburg,Berlin
134.7905599232277,408.3099611553877,12,2,Hamburg,Berlin
144.53968998129264,408.3099611553877,12,2,Hamburg,Berlin
144.53968998129264,408.3099611553877,12,2,Hamburg,Berlin
144.53968998129264,408.3099611553877,12,2,Hamburg,Berlin
164.0379500974225,410.7479237152484,12,2,Hamburg,Berlin
164.0379500974225,410.7479237152484,12,2,Hamburg,Berlin
164.0379500974225,410.7479237152484,12,2,Hamburg,Berlin
178.66164518451993,410.7479237152484,12,2,Hamburg,Berlin
178.66164518451993,410.7479237152484,12,2,Hamburg,Berlin
178.66164518451993,410.7479237152484,12,2,Hamburg,Berlin
195.72262278613354,404.6530173155967,12,2,Hamburg,Berlin
195.72262278613354,404.6530173155967,12,2,Hamburg,Berlin
195.72262278613354,404.6530173155967,12,2,Hamburg,Berlin
211.56495913048906,390.0252419564326,12,2,Hamburg,Berlin
211.56495913048906,390.0252419564326,12,2,Hamburg,Berlin
211.56495913048906,390.0252419564326,12,2,Hamburg,Berlin
222.53273044581215,376.61644787719877,12,2,Hamburg,Berlin
222.53273044581215,376.61644787719877,12,2,Hamburg,Berlin
222.53273044581215,376.61644787719877,12,2,Hamburg,Berlin
235.93778427565144,364.42663507789536,12,2,Hamburg,Berlin
235.93778427565144,364.42663507789536,12,2,Hamburg,Berlin
235.93778427565144,364.42663507789536,12,2,Hamburg,Berlin
239.59370804742576,361.98867251803466,12,2,Hamburg,Berlin
239.59370804742576,361.98867251803466,12,2,Hamburg,Berlin
239.59370804742576,361.98867251803466,12,2,Hamburg,Berlin
242.03099056194202,355.8937661183829,12,2,Hamburg,Berlin
242.03099056194202,355.8937661183829,12,2,Hamburg,Berlin
