"x","y","polygon_id","name"
93.2767270444647,212.57141409115,1,"polygon 1"
269.276715055417,213.571414023031,1,"polygon 1"
253.27671614533,246.571411775084,1,"polygon 1"
93.2767270444647,237.57141238816,1,"polygon 1"
168.276721935496,310.57140741543,2,"polygon 1"
215.276718733875,300.571408096626,2,"polygon 1"
250.276716349689,286.571409050301,2,"polygon 1"
320.276711581318,289.571408845942,2,"polygon 1"
351.276709469611,314.571407142952,2,"polygon 1"
372.276708039099,317.571406938593,2,"polygon 1"
439.276703475087,387.571402170222,2,"polygon 1"
440.276703406967,429.571399309199,2,"polygon 1"
329.276710968242,439.571398628003,2,"polygon 1"
204.27671948319,416.571400194754,2,"polygon 1"
151.276723093529,409.571400671591,2,"polygon 1"
132.276724387801,389.571402033983,2,"polygon 1"
143.276723638485,343.571405167484,2,"polygon 1"
