"x","y","polygon_id","name","is_complete"
114.825012207031,327.462506103516,1,"polygon 1",TRUE
85.8250122070312,332.462506103516,1,"polygon 1",TRUE
91.8250122070312,367.462506103516,1,"polygon 1",TRUE
112.825012207031,383.462506103516,1,"polygon 1",TRUE
123.825012207031,371.462506103516,1,"polygon 1",TRUE
129.825012207031,336.462506103516,1,"polygon 1",TRUE
295.825012207031,165.462506103516,2,"polygon 1",FALSE
283.825012207031,221.462506103516,2,"polygon 1",FALSE
306.825012207031,254.462506103516,2,"polygon 1",FALSE
314.825012207031,260.462506103516,2,"polygon 1",FALSE
327.825012207031,291.462506103516,2,"polygon 1",FALSE
391.825012207031,296.462506103516,2,"polygon 1",FALSE
399.825012207031,228.462506103516,2,"polygon 1",FALSE
419.825012207031,206.462506103516,2,"polygon 1",FALSE
437.825012207031,184.462506103516,2,"polygon 1",FALSE
441.825012207031,159.462506103516,2,"polygon 1",FALSE
442.825012207031,137.462506103516,2,"polygon 1",FALSE
421.825012207031,127.462506103516,2,"polygon 1",FALSE
396.825012207031,106.462506103516,2,"polygon 1",FALSE
378.825012207031,150.462506103516,2,"polygon 1",FALSE
374.825012207031,171.462506103516,2,"polygon 1",FALSE
373.825012207031,175.462506103516,2,"polygon 1",FALSE
349.825012207031,179.462506103516,2,"polygon 1",FALSE
329.825012207031,172.462506103516,2,"polygon 1",FALSE
