"x","y","polygon_id","name"
225.078125,216.859375,1,"polygon 1"
221.078125,218.859375,1,"polygon 1"
220.078125,218.859375,1,"polygon 1"
214.078125,220.859375,1,"polygon 1"
210.078125,229.859375,1,"polygon 1"
207.078125,235.859375,1,"polygon 1"
206.078125,243.859375,1,"polygon 1"
205.078125,252.859375,1,"polygon 1"
205.078125,257.859375,1,"polygon 1"
207.078125,265.859375,1,"polygon 1"
213.078125,276.859375,1,"polygon 1"
214.078125,286.859375,1,"polygon 1"
219.078125,294.859375,1,"polygon 1"
223.078125,302.859375,1,"polygon 1"
227.078125,304.859375,1,"polygon 1"
235.078125,299.859375,1,"polygon 1"
238.078125,287.859375,1,"polygon 1"
238.078125,279.859375,1,"polygon 1"
239.078125,265.859375,1,"polygon 1"
240.078125,259.859375,1,"polygon 1"
242.078125,258.859375,1,"polygon 1"
242.078125,251.859375,1,"polygon 1"
240.078125,243.859375,1,"polygon 1"
237.078125,229.859375,1,"polygon 1"
236.078125,226.859375,1,"polygon 1"
235.078125,225.859375,1,"polygon 1"
232.078125,222.859375,1,"polygon 1"
1.078125,271.859375,2,"polygon 1"
46.078125,267.859375,2,"polygon 1"
65.078125,257.859375,2,"polygon 1"
106.078125,255.859375,2,"polygon 1"
154.078125,253.859375,2,"polygon 1"
193.078125,253.859375,2,"polygon 1"
200.078125,258.859375,2,"polygon 1"
190.078125,276.859375,2,"polygon 1"
173.078125,292.859375,2,"polygon 1"
167.078125,297.859375,2,"polygon 1"
152.078125,315.859375,2,"polygon 1"
136.078125,326.859375,2,"polygon 1"
90.078125,327.859375,2,"polygon 1"
66.078125,326.859375,2,"polygon 1"
44.078125,326.859375,2,"polygon 1"
15.078125,322.859375,2,"polygon 1"
4.078125,321.859375,2,"polygon 1"
383.078125,200.859375,3,"polygon 1"
371.078125,199.859375,3,"polygon 1"
362.078125,187.859375,3,"polygon 1"
353.078125,186.859375,3,"polygon 1"
338.078125,190.859375,3,"polygon 1"
341.078125,211.859375,3,"polygon 1"
349.078125,234.859375,3,"polygon 1"
336.078125,252.859375,3,"polygon 1"
341.078125,265.859375,3,"polygon 1"
353.078125,280.859375,3,"polygon 1"
366.078125,293.859375,3,"polygon 1"
402.078125,324.859375,3,"polygon 1"
410.078125,334.859375,3,"polygon 1"
415.078125,342.859375,3,"polygon 1"
421.078125,351.859375,3,"polygon 1"
433.078125,355.859375,3,"polygon 1"
443.078125,347.859375,3,"polygon 1"
442.078125,325.859375,3,"polygon 1"
442.078125,303.859375,3,"polygon 1"
442.078125,258.859375,3,"polygon 1"
444.078125,247.859375,3,"polygon 1"
446.078125,230.859375,3,"polygon 1"
447.078125,219.859375,3,"polygon 1"
442.078125,201.859375,3,"polygon 1"
440.078125,193.859375,3,"polygon 1"
437.078125,191.859375,3,"polygon 1"
422.078125,196.859375,3,"polygon 1"
403.078125,201.859375,3,"polygon 1"
391.078125,209.859375,3,"polygon 1"
